Date,Junctions Cut,NORTHERN,CENTRAL,NEW ZEALAND,SOUTH AUSTRALIA,SOUTHERN,WESTERN
1/07/2009,13,7,1,0,0,5,0
2/07/2009,22,9,8,0,0,5,0
3/07/2009,35,11,1,15,0,8,0
4/07/2009,16,6,4,0,0,6,0
5/07/2009,0,0,0,0,0,0,0
6/07/2009,51,27,3,2,0,19,0
7/07/2009,27,22,4,0,0,1,0
8/07/2009,41,21,8,0,0,12,0
9/07/2009,17,8,4,0,0,5,0
10/07/2009,19,2,13,0,0,4,0
11/07/2009,0,0,0,0,0,0,0
12/07/2009,0,0,0,0,0,0,0
13/07/2009,11,6,4,0,0,1,0
14/07/2009,22,9,5,0,0,8,0
15/07/2009,30,26,0,0,0,4,0
16/07/2009,61,25,10,0,0,26,0
17/07/2009,47,27,12,6,0,2,0
18/07/2009,34,21,0,0,0,13,0
19/07/2009,0,0,0,0,0,0,0
20/07/2009,37,21,0,1,0,15,0
21/07/2009,31,22,0,3,0,6,0
22/07/2009,31,22,1,0,0,8,0
23/07/2009,29,17,0,0,0,12,0
24/07/2009,23,18,2,0,0,3,0
25/07/2009,2,2,0,0,0,0,0
26/07/2009,0,0,0,0,0,0,0
27/07/2009,31,21,0,0,0,10,0
28/07/2009,34,12,8,0,0,14,0
29/07/2009,20,15,0,0,0,5,0
30/07/2009,27,12,0,0,0,15,0
31/07/2009,25,13,0,0,0,12,0
1/08/2009,26,10,0,0,0,16,0
2/08/2009,0,0,0,0,0,0,0
3/08/2009,43,30,0,0,0,13,0
4/08/2009,55,29,7,0,0,19,0
5/08/2009,34,14,0,0,0,20,0
6/08/2009,29,6,6,0,0,17,0
7/08/2009,57,39,0,0,0,18,0
8/08/2009,14,10,4,0,0,0,0
9/08/2009,0,0,0,0,0,0,0
10/08/2009,15,8,0,0,0,7,0
11/08/2009,22,2,13,0,0,7,0
12/08/2009,42,9,15,0,0,18,0
13/08/2009,48,4,3,0,0,41,0
14/08/2009,36,0,27,0,0,9,0
15/08/2009,21,0,7,0,0,14,0
16/08/2009,0,0,0,0,0,0,0
17/08/2009,22,0,7,5,0,10,0
18/08/2009,27,2,11,0,0,14,0
19/08/2009,28,6,3,0,0,19,0
20/08/2009,25,4,10,0,0,11,0
21/08/2009,10,4,0,0,0,6,0
22/08/2009,4,4,0,0,0,0,0
23/08/2009,0,0,0,0,0,0,0
24/08/2009,16,0,4,0,0,12,0
25/08/2009,40,4,8,1,0,27,0
26/08/2009,50,3,22,0,0,25,0
27/08/2009,19,4,1,0,0,14,0
28/08/2009,26,8,0,0,0,18,0
29/08/2009,6,4,0,0,0,2,0
30/08/2009,12,0,0,0,0,12,0
31/08/2009,28,0,12,0,0,16,0
1/09/2009,39,11,13,0,0,15,0
2/09/2009,47,27,4,0,0,16,0
3/09/2009,36,16,8,0,0,12,0
4/09/2009,18,4,10,0,0,4,0
5/09/2009,0,0,0,0,0,0,0
6/09/2009,6,0,0,0,0,6,0
7/09/2009,30,8,15,0,0,7,0
8/09/2009,30,10,0,0,0,20,0
9/09/2009,59,14,15,0,0,30,0
10/09/2009,27,4,6,0,0,17,0
11/09/2009,42,10,0,0,0,32,0
12/09/2009,28,3,0,0,0,25,0
13/09/2009,0,0,0,0,0,0,0
14/09/2009,19,0,7,0,0,12,0
15/09/2009,43,4,1,0,0,38,0
16/09/2009,22,2,0,0,0,20,0
17/09/2009,20,9,0,0,0,11,0
18/09/2009,51,21,0,0,0,30,0
19/09/2009,4,2,2,0,0,0,0
20/09/2009,0,0,0,0,0,0,0
21/09/2009,17,2,0,0,0,15,0
22/09/2009,20,3,2,0,0,15,0
23/09/2009,21,12,0,0,0,9,0
24/09/2009,41,12,0,0,0,29,0
25/09/2009,26,9,1,0,0,16,0
26/09/2009,7,3,4,0,0,0,0
27/09/2009,14,0,0,0,0,14,0
28/09/2009,19,2,1,0,0,16,0
29/09/2009,16,5,1,0,0,10,0
30/09/2009,39,4,0,0,0,35,0
1/10/2009,25,0,4,0,0,21,0
2/10/2009,17,3,0,0,0,14,0
3/10/2009,10,0,2,0,0,8,0
4/10/2009,0,0,0,0,0,0,0
5/10/2009,26,0,3,4,0,19,0
6/10/2009,19,0,2,6,0,11,0
7/10/2009,22,6,0,4,0,12,0
8/10/2009,39,15,1,0,0,23,0
9/10/2009,41,8,0,0,0,33,0
10/10/2009,24,8,8,0,0,8,0
11/10/2009,0,0,0,0,0,0,0
12/10/2009,15,5,3,4,0,3,0
13/10/2009,50,17,0,1,0,32,0
14/10/2009,34,6,2,2,0,24,0
15/10/2009,23,9,0,4,0,10,0
16/10/2009,23,6,1,4,0,12,0
17/10/2009,1,1,0,0,0,0,0
18/10/2009,0,0,0,0,0,0,0
19/10/2009,23,11,1,0,0,11,0
